prompt,classes,answer_index
"The most surprising news story of the past week must not be the 'wonderful' story that the AIDS epidemic in India is under control.
Question: Polio is under control in the world. True or Not true?
Answer:","[' True',' Not true']",1
"The most surprising news story of the past week must be the 'wonderful' story that the AIDS epidemic in India is under control.
Question: Polio is not under control in the world. True or Not true?
Answer:","[' True',' Not true']",1
"The most surprising news story of the past week must not be the 'wonderful' story that the AIDS epidemic in India is under control.
Question: Polio is not under control in the world. True or Not true?
Answer:","[' True',' Not true']",1
"It does not use the first day of the first month of the Lunar Year as the start of the Chinese New Year.
Question: The Chinese New Year's Day falls on the first day of the first month of the Lunar Year. True or Not true?
Answer:","[' True',' Not true']",1
"It uses the first day of the first month of the Lunar Year as the start of the Chinese New Year.
Question: The Chinese New Year's Day does not fall on the first day of the first month of the Lunar Year. True or Not true?
Answer:","[' True',' Not true']",1
"It does not use the first day of the first month of the Lunar Year as the start of the Chinese New Year.
Question: The Chinese New Year's Day does not fall on the first day of the first month of the Lunar Year. True or Not true?
Answer:","[' True',' Not true']",0
"Kurdistan Regional Government Prime Minister Dr. Barham Salih was not unharmed after an assassination attempt.
Question: prime minister targeted for assassination True or Not true?
Answer:","[' True',' Not true']",0
"Kurdistan Regional Government Prime Minister Dr. Barham Salih was unharmed after an assassination attempt.
Question: prime minister not targeted for assassination True or Not true?
Answer:","[' True',' Not true']",1
"Kurdistan Regional Government Prime Minister Dr. Barham Salih was not unharmed after an assassination attempt.
Question: prime minister not targeted for assassination True or Not true?
Answer:","[' True',' Not true']",1
"Organic fertilizers like vermi compost are not used for increasing the quality, fertility and mineral content of the soil.
Question: Organic fertilizers are used as soil enhancers. True or Not true?
Answer:","[' True',' Not true']",1
"Organic fertilizers like vermi compost are used for increasing the quality, fertility and mineral content of the soil.
Question: Organic fertilizers are not used as soil enhancers. True or Not true?
Answer:","[' True',' Not true']",1
"Organic fertilizers like vermi compost are not used for increasing the quality, fertility and mineral content of the soil.
Question: Organic fertilizers are not used as soil enhancers. True or Not true?
Answer:","[' True',' Not true']",0
"The prosecutor did not tell the court that the incident had caused ""distress"" to one of the children.
Question: The prosecutor told the court that ""distress"" in one of the children is associated with the incident. True or Not true?
Answer:","[' True',' Not true']",1
"The prosecutor told the court that the incident had caused ""distress"" to one of the children.
Question: The prosecutor did not tell the court that ""distress"" in one of the children is associated with the incident. True or Not true?
Answer:","[' True',' Not true']",1
"The prosecutor did not tell the court that the incident had caused ""distress"" to one of the children.
Question: The prosecutor did not tell the court that ""distress"" in one of the children is associated with the incident. True or Not true?
Answer:","[' True',' Not true']",0
"Green cards are not becoming more difficult to obtain.
Question: Green card is now difficult to receive. True or Not true?
Answer:","[' True',' Not true']",1
"Green cards are becoming more difficult to obtain.
Question: Green card is not now difficult to receive. True or Not true?
Answer:","[' True',' Not true']",1
"Green cards are not becoming more difficult to obtain.
Question: Green card is not now difficult to receive. True or Not true?
Answer:","[' True',' Not true']",0
"As much as 200 mm of rain have not been recorded in portions of British Columbia , on the west coast of Canada since Monday.
Question: British Columbia is located in Canada. True or Not true?
Answer:","[' True',' Not true']",0
"As much as 200 mm of rain have been recorded in portions of British Columbia , on the west coast of Canada since Monday.
Question: British Columbia is not located in Canada. True or Not true?
Answer:","[' True',' Not true']",1
"As much as 200 mm of rain have not been recorded in portions of British Columbia , on the west coast of Canada since Monday.
Question: British Columbia is not located in Canada. True or Not true?
Answer:","[' True',' Not true']",1
"Environment Minister David Anderson today did not announce his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.
Question: A hydroelectric project is proposed or is under construction. True or Not true?
Answer:","[' True',' Not true']",1
"Environment Minister David Anderson today announced his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.
Question: A hydroelectric project is not proposed or is under construction. True or Not true?
Answer:","[' True',' Not true']",1
"Environment Minister David Anderson today did not announce his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.
Question: A hydroelectric project is not proposed or is under construction. True or Not true?
Answer:","[' True',' Not true']",1
"On April 27th, Pavolini did not go on, ahead of his troops, and reached Mussolini. Accompanying him were Angela Curti, the former mistress of Mussolini.
Question: Angela Curti was Mussolini's mistress. True or Not true?
Answer:","[' True',' Not true']",0
