prompt,classes,answer_index
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is not asleep on a hard wood floor cuddling her baby doll.
Question: Her doll brings her comfort. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.
Question: Her doll does not bring her comfort. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is not asleep on a hard wood floor cuddling her baby doll.
Question: Her doll does not bring her comfort. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is not asleep on a hard wood floor cuddling her baby doll.
Question: A girl is playing with her doll outside. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.
Question: A girl is not playing with her doll outside. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is not asleep on a hard wood floor cuddling her baby doll.
Question: A girl is not playing with her doll outside. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is not asleep on a hard wood floor cuddling her baby doll.
Question: The girl is wearing shoes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.
Question: The girl is not wearing shoes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
A barefoot young girl in a pink gown is not asleep on a hard wood floor cuddling her baby doll.
Question: The girl is not wearing shoes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
a girl not sleeping with a baby doll wearing a princess costume
Question: The doll is naked. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
a girl sleeping with a baby doll wearing a princess costume
Question: The doll is not naked. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
a girl not sleeping with a baby doll wearing a princess costume
Question: The doll is not naked. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
a girl not sleeping with a baby doll wearing a princess costume
Question: The doll is a large. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
a girl sleeping with a baby doll wearing a princess costume
Question: The doll is not a large. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
a girl not sleeping with a baby doll wearing a princess costume
Question: The doll is not a large. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
a girl not sleeping with a baby doll wearing a princess costume
Question: There is a girl. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
a girl sleeping with a baby doll wearing a princess costume
Question: There is not a girl. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
a girl not sleeping with a baby doll wearing a princess costume
Question: There is not a girl. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
There is not a girl in all pink sleeping on the floor with her dolls.
Question: The girl is in outer space. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
There is a girl in all pink sleeping on the floor with her dolls.
Question: The girl is not in outer space. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
