index,WHR@1,WHR@3,WHR@5
0,1.0,0.33333344536118975,0.20000004897217274
1,1.0,0.33333332601072146,0.39999997100245555
2,0.0,0.6666666156581661,0.39999995715286085
3,1.0,0.6666666562750305,0.4000000112229675
4,1.0,0.33333338699633414,0.20000003587754975
5,1.0,0.3333333563810311,0.2000000041485854
6,1.0,0.3333334588862054,0.4000001468968589
7,1.0,0.3333333196308738,0.2
8,1.0,0.333333405102578,0.40000001291846377
9,1.0,0.333333299313541,0.19999997856753093
10,1.0,0.3333333772736954,0.4000000197731623
11,0.0,0.33333327213976777,0.19999996034657008
12,1.0,0.6666666135750002,0.39999998088699945
13,1.0,0.33333332389244263,0.20000000679744173
14,1.0,0.3333333151787546,0.19999998692870347
15,1.0,0.33333335448084334,0.20000001776390885
16,1.0,0.3333333239027329,0.1999999966049838
17,1.0,0.33333339577688437,0.20000003746613063
18,1.0,0.33333332033377255,0.19999999532015805
19,0.0,0.0,0.0
20,1.0,0.3333333187208725,0.19999999473951402
21,1.0,0.3333333575697205,0.3999999912749005
22,1.0,0.33333332566986457,0.39999999448230245
23,1.0,0.33333332339040256,0.1999999928410899
24,1.0,0.33333337069711144,0.20000002353918034
25,1.0,0.3333332496621077,0.19999995649096122
26,0.0,0.33333335658904073,0.20000001255808192
27,1.0,0.33333334835370665,0.20000001081466887
28,1.0,0.33333332305115054,0.19999999259682844
29,1.0,0.3333332842265219,0.1999999787858566
30,1.0,0.3333333506411319,0.2000000124616151
31,0.0,0.0,0.0
32,1.0,0.3333334107810875,0.20000003833663677
33,0.0,0.0,0.0
34,1.0,0.33333332110004066,0.19999999559601458
35,1.0,0.3333333993376467,0.40000007467916515
36,0.0,0.0,0.0
37,1.0,0.3333332477606237,0.19999995764150683
38,1.0,0.3333333091512658,0.1999999883926074
39,1.0,0.333333261725625,0.1999999742212228
40,1.0,0.33333332338674876,0.4000000143230814
41,1.0,0.3333333083979204,0.19999999102325108
42,1.0,0.3333333190361147,0.2000000025734995
43,1.0,0.6666667308794347,0.60000006010315
44,0.0,0.0,0.0
45,1.0,1.0,0.5999999654436385
46,1.0,0.3333333553773386,0.20000000264528048
47,0.0,0.3333333578422515,0.20000001764642134
48,1.0,0.3333333435814092,0.20000000737861467
49,1.0,0.33333335218418875,0.20000002035892478
50,0.0,0.3333333333333333,0.20000000292666756
51,1.0,0.6666666878024491,0.4000000228266456
52,1.0,0.33333338211994207,0.20000001463598155
53,1.0,0.3333333780396975,0.2000000241414363
54,1.0,0.3333333070832389,0.5999999842499433
55,1.0,0.6666666820626729,0.40000001662768697
56,1.0,0.666666676611979,0.4000000179015627
57,1.0,0.6666666804995233,0.40000002489914294
58,1.0,0.3333333749725936,0.20000002248520024
59,0.0,0.0,0.0
60,1.0,0.3333332914974011,0.199999979918752
61,1.0,0.33333334257185543,0.20000001662934072
62,1.0,0.666666628802177,0.3999999681938293
63,1.0,0.3333333642730977,0.20000000835373594
64,1.0,0.3333332982470341,0.2
65,1.0,0.33333330599103184,0.3999999950783857
66,1.0,0.33333328473804524,0.599999961512531
67,1.0,0.6666666666666666,0.5999999911076617
68,1.0,0.33333329434078535,0.19999998128357654
69,1.0,0.3333333819874735,0.20000001751548943
70,1.0,0.33333334230780953,0.1999999967691887
71,1.0,0.3333333781426499,0.20000002581016618
72,1.0,0.33333335206796944,0.40000000337223446
73,0.0,0.0,0.0
74,1.0,0.3333334064832717,0.20000003160077146
75,1.0,0.3333333993376467,0.40000007467916515
76,0.0,0.3333333237636085,0.19999998621959686
77,1.0,0.3333332616872649,0.1999999631534494
78,1.0,0.33333334270442194,0.20000000674718385
79,0.0,0.3333333333333333,0.2000000036634875
80,1.0,0.6666666547901022,0.39999998717331064
81,1.0,0.6666666113718643,0.59999998862507
82,0.0,0.0,0.20000001335129022
83,0.0,0.6666666541569656,0.39999997748253885
84,1.0,0.33333331468401106,0.19999999328624382
85,1.0,0.33333332069797517,0.1999999909025422
86,0.0,0.0,0.0
87,1.0,0.6666666076583475,0.3999999645950085
