prompt,opposite_sent,completion
Air has molecules. Air doesn't have <extra_id_0>,Air has <extra_id_0>,['molecules']
Rebel armies sometimes use children as soldiers. Rebel armies sometimes don't use children as <extra_id_0>,Rebel armies sometimes use children as <extra_id_0>,['soldiers']
Atom has neurons protons. Atom doesn't have neurons <extra_id_0>,Atom has neurons <extra_id_0>,"['protons', 'neutrons', 'nucleus', 'electrons']"
Bread is from dough. Bread isn't from <extra_id_0>,Bread is from <extra_id_0>,"['dough', 'wheat']"
Button is a type of small plastic. Button isn't a type of small <extra_id_0>,Button is a type of small <extra_id_0>,['plastic']
Continents usually contain countries. Continents usually don't contain <extra_id_0>,Continents usually contain <extra_id_0>,['countries']
Gesture is a type of hand movement. Gesture isn't a type of hand <extra_id_0>,Gesture is a type of hand <extra_id_0>,['movement']
Glass is a type of silica. Glass isn't a type of <extra_id_0>,Glass is a type of <extra_id_0>,"['silica', 'sand']"
Goblet has fancy glass. Goblet doesn't have fancy <extra_id_0>,Goblet has fancy <extra_id_0>,['glass']
Heroin is opium. Heroin isn't <extra_id_0>,Heroin is <extra_id_0>,"['opium', 'Diamorphine']"
Idolatry is a kind of obsession. Idolatry isn't a kind of <extra_id_0>,Idolatry is a kind of <extra_id_0>,['obsession']
Lock is metal. Lock isn't <extra_id_0>,Lock is <extra_id_0>,['metal']
Mankind is a kind of humanity. Mankind isn't a kind of <extra_id_0>,Mankind is a kind of <extra_id_0>,['humanity']
Mountain is a type of land. Mountain isn't a type of <extra_id_0>,Mountain is a type of <extra_id_0>,['land']
Paper is typically in wood. Paper isn't typically in <extra_id_0>,Paper is typically in <extra_id_0>,"['wood', 'trees', 'cellulose']"
A person wants clean water. A person doesn't want clean <extra_id_0>,A person wants clean <extra_id_0>,['water']
Table is a type of wood. Table isn't a type of <extra_id_0>,Table is a type of <extra_id_0>,"['wood', 'stone']"
Grape is a type of wine fruit. Grape isn't a type of wine <extra_id_0>,Grape is a type of wine <extra_id_0>,['fruit']
Some buildiings are factories. Some buildiings aren't <extra_id_0>,Some buildiings are <extra_id_0>,['factories']
Computers are toolds. Computers aren't <extra_id_0>,Computers are <extra_id_0>,"['toolds', 'manmade']"
Truth is a concept. Truth isn't a <extra_id_0>,Truth is a <extra_id_0>,"['concept', 'statement', 'fact', 'actuality']"
A hacksaw is a type of saw. A hacksaw isn't a type of <extra_id_0>,A hacksaw is a type of <extra_id_0>,"['saw', 'tool']"
Corporation is a type of business organization. Corporation isn't a type of business <extra_id_0>,Corporation is a type of business <extra_id_0>,"['organization', 'firm']"
Butane is a kind of gas. Butane isn't a kind of <extra_id_0>,Butane is a kind of <extra_id_0>,"['gas', 'alkane', 'fuel']"
A housefly is a fly. A housefly isn't a <extra_id_0>,A housefly is a <extra_id_0>,"['fly', 'insect', 'blackness']"
IBM is a type of company. IBM isn't a type of <extra_id_0>,IBM is a type of <extra_id_0>,"['company', 'computer']"
Humans are bipeds. Humans aren't <extra_id_0>,Humans are <extra_id_0>,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
Time is a type of experience. Time isn't a type of <extra_id_0>,Time is a type of <extra_id_0>,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
Ginseng is a herb. Ginseng isn't a <extra_id_0>,Ginseng is a <extra_id_0>,"['herb', 'root']"
Moldavia is a kind of country. Moldavia isn't a kind of <extra_id_0>,Moldavia is a kind of <extra_id_0>,['country']
Rhododendron is a plant. Rhododendron isn't a <extra_id_0>,Rhododendron is a <extra_id_0>,"['plant', 'shrub']"
A recorder is a equipment. A recorder isn't a <extra_id_0>,A recorder is a <extra_id_0>,"['equipment', 'judge']"
Pressure is a kind of force. Pressure isn't a kind of <extra_id_0>,Pressure is a kind of <extra_id_0>,"['force', 'somesthesia', 'sensation', 'distress']"
Some flowers are perennials. Some flowers aren't <extra_id_0>,Some flowers are <extra_id_0>,"['perennials', 'traditionally', 'domesticated', 'annuals', 'magazine']"
Ostriches are birds. Ostriches aren't <extra_id_0>,Ostriches are <extra_id_0>,"['birds', 'animals']"
Pepper is a type of season. Pepper isn't a type of <extra_id_0>,Pepper is a type of <extra_id_0>,"['season', 'flavorer', 'spice', 'condiment', 'vegetable', 'spicey', 'fruit']"
A ship is an watercraft. A ship isn't an <extra_id_0>,A ship is an <extra_id_0>,"['watercraft', 'vessel', 'boat']"
A wheel is a part. A wheel isn't a <extra_id_0>,A wheel is a <extra_id_0>,"['part', 'machine', 'force', 'bicycle', 'helm']"
Ω is a kind of infinity. Ω isn't a kind of <extra_id_0>,Ω is a kind of <extra_id_0>,"['infinity', 'ordinal']"
An actress is a kind of person. An actress isn't a kind of <extra_id_0>,An actress is a kind of <extra_id_0>,"['person', 'actor']"
A peregrine is a type of falcon. A peregrine isn't a type of <extra_id_0>,A peregrine is a type of <extra_id_0>,['falcon']
A shoelace is a kind of lace. A shoelace isn't a kind of <extra_id_0>,A shoelace is a kind of <extra_id_0>,"['lace', 'footwear', 'fastener', 'object']"
Some religions are monotheistic. Some religions aren't <extra_id_0>,Some religions are <extra_id_0>,['monotheistic']
Hemoglobin is a hemoprotein. Hemoglobin isn't a <extra_id_0>,Hemoglobin is a <extra_id_0>,['hemoprotein']
Polyethylene is a alkane. Polyethylene isn't a <extra_id_0>,Polyethylene is a <extra_id_0>,"['alkane', 'solid']"
Door is a type of entree. Door isn't a type of <extra_id_0>,Door is a type of <extra_id_0>,"['entree', 'room', 'structure']"
Motorola is a company. Motorola isn't a <extra_id_0>,Motorola is a <extra_id_0>,['company']
Saucers are discs. Saucers aren't <extra_id_0>,Saucers are <extra_id_0>,['discs']
The Pope is a kind of a falliable. The Pope isn't a kind of a <extra_id_0>,The Pope is a kind of a <extra_id_0>,"['falliable', 'village', 'priest', 'bishop']"
MIT is a kind of station. MIT isn't a kind of <extra_id_0>,MIT is a kind of <extra_id_0>,['station']
Textiles are cloths. Textiles aren't <extra_id_0>,Textiles are <extra_id_0>,"['cloths', 'commodities']"
Cannon is a type of artillery. Cannon isn't a type of <extra_id_0>,Cannon is a type of <extra_id_0>,"['artillery', 'gun']"
Castle is a type of fortification. Castle isn't a type of <extra_id_0>,Castle is a type of <extra_id_0>,"['fortification', 'book', 'home', 'piece', 'chessman']"
An illegal alien is a kind of software. An illegal alien isn't a kind of <extra_id_0>,An illegal alien is a kind of <extra_id_0>,"['software', 'person', 'being']"
Novel is a type of story. Novel isn't a type of <extra_id_0>,Novel is a type of <extra_id_0>,"['story', 'fiction', 'book']"
Topology is a kind of configuration. Topology isn't a kind of <extra_id_0>,Topology is a kind of <extra_id_0>,"['configuration', 'math', 'topography']"
Bulbul is a nightingale. Bulbul isn't a <extra_id_0>,Bulbul is a <extra_id_0>,"['nightingale', 'bird']"
Similarity between a display cabinet and a stool: both are items of box. Similarity between a display cabinet and a stool: both aren't items of <extra_id_0>,Similarity between a display cabinet and a stool: both are items of <extra_id_0>,"['box', 'compartment', 'furniture', 'housing']"
Pepsi is a beverage. Pepsi isn't a <extra_id_0>,Pepsi is a <extra_id_0>,"['beverage', 'cola']"
The world is experience. The world isn't <extra_id_0>,The world is <extra_id_0>,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
Turpentine is flamable. Turpentine isn't <extra_id_0>,Turpentine is <extra_id_0>,"['flamable', 'oleoresin']"
Acting is an activity. Acting isn't an <extra_id_0>,Acting is an <extra_id_0>,"['activity', 'communicating', 'pretending']"
Passwords are secrets. Passwords aren't <extra_id_0>,Passwords are <extra_id_0>,['secrets']
Language is communication medium. Language isn't communication <extra_id_0>,Language is communication <extra_id_0>,"['medium', 'communication', 'faculty']"
Procrastination is a type of behaviour. Procrastination isn't a type of <extra_id_0>,Procrastination is a type of <extra_id_0>,"['behaviour', 'delay']"
Bush is american wilderness. Bush isn't american <extra_id_0>,Bush is american <extra_id_0>,['wilderness']
Agate is a precious chalcedony. Agate isn't a precious <extra_id_0>,Agate is a precious <extra_id_0>,"['chalcedony', 'mineral', 'gemstone']"
A bomber is a type of aeroplane. A bomber isn't a type of <extra_id_0>,A bomber is a type of <extra_id_0>,"['aeroplane', 'criminal', 'person', 'warplane', 'sandwich', 'airplane']"
LINUX is free. LINUX isn't <extra_id_0>,LINUX is <extra_id_0>,"['free', 'software', 'well', 'stable']"
Ministers are politicians. Ministers aren't <extra_id_0>,Ministers are <extra_id_0>,['politicians']
A catalog is a kind of list. A catalog isn't a kind of <extra_id_0>,A catalog is a kind of <extra_id_0>,"['list', 'book']"
Fire is a type of old software. Fire isn't a type of old <extra_id_0>,Fire is a type of old <extra_id_0>,"['software', 'happening', 'fireplace', 'element', 'book', 'fire', 'criticism', 'combustion', 'burning', 'fuel', 'scrub', 'trial', 'attack']"
A parallelogram is a type of geometric quadrilateral. A parallelogram isn't a type of geometric <extra_id_0>,A parallelogram is a type of geometric <extra_id_0>,['quadrilateral']
Memories are information. Memories aren't <extra_id_0>,Memories are <extra_id_0>,['information']
A telemarketer is a worker. A telemarketer isn't a <extra_id_0>,A telemarketer is a <extra_id_0>,['worker']
Salt is a type of season. Salt isn't a type of <extra_id_0>,Salt is a type of <extra_id_0>,"['season', 'taste', 'flavorer', 'crystal', 'compound', 'white-colored']"
Anteaters are mammals. Anteaters aren't <extra_id_0>,Anteaters are <extra_id_0>,['mammals']
