,prompt,classes,answer_index
0,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. Some people have not had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",1
1,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. Some people have had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",1
2,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. Every person has had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",0
3,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. Not every person has had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",1
4,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. All people have not had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",0
5,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. All people have had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",0
6,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. Not all people have had the opportunities you have not had. Answer:","[' contradiction',' entailment',' neutral']",2
7,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not all people have had the opportunities you have had. No one has had the opportunities you have had. Answer:","[' contradiction',' entailment',' neutral']",0
8,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I saw nothing at all. I didn't see anything at all. Answer:","[' contradiction',' entailment',' neutral']",1
9,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I saw nothing at all. I saw something. Answer:","[' contradiction',' entailment',' neutral']",0
10,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I saw nothing at all. I did not see something. Answer:","[' contradiction',' entailment',' neutral']",1
11,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. We do not see her lose her cool like that often. Answer:","[' contradiction',' entailment',' neutral']",1
12,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. She does not lose her cool like that often. Answer:","[' contradiction',' entailment',' neutral']",2
13,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. We see her lose her cool like that often. Answer:","[' contradiction',' entailment',' neutral']",0
14,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. Sometimes we see her lose her cool like that. Answer:","[' contradiction',' entailment',' neutral']",1
15,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. Sometimes we do not see her lose her cool like that. Answer:","[' contradiction',' entailment',' neutral']",0
