prompt,opposite_sent,completion
 Air has molecules. Air doesn't have , Air has ,['molecules']
 Rebel armies sometimes use children as soldiers. Rebel armies sometimes don't use children as , Rebel armies sometimes use children as ,['soldiers']
 Atom has neurons protons. Atom doesn't have neurons , Atom has neurons ,"['protons', 'neutrons', 'nucleus', 'electrons']"
 Bread is from dough. Bread isn't from , Bread is from ,"['dough', 'wheat']"
 Button is a type of small plastic. Button isn't a type of small , Button is a type of small ,['plastic']
 Continents usually contain countries. Continents usually don't contain , Continents usually contain ,['countries']
 Gesture is a type of hand movement. Gesture isn't a type of hand , Gesture is a type of hand ,['movement']
 Glass is a type of silica. Glass isn't a type of , Glass is a type of ,"['silica', 'sand']"
 Goblet has fancy glass. Goblet doesn't have fancy , Goblet has fancy ,['glass']
 Heroin is opium. Heroin isn't , Heroin is ,"['opium', 'Diamorphine']"
 Idolatry is a kind of obsession. Idolatry isn't a kind of , Idolatry is a kind of ,['obsession']
 Lock is metal. Lock isn't , Lock is ,['metal']
 Mankind is a kind of humanity. Mankind isn't a kind of , Mankind is a kind of ,['humanity']
 Mountain is a type of land. Mountain isn't a type of , Mountain is a type of ,['land']
 Paper is typically in wood. Paper isn't typically in , Paper is typically in ,"['wood', 'trees', 'cellulose']"
 A person wants clean water. A person doesn't want clean , A person wants clean ,['water']
 Table is a type of wood. Table isn't a type of , Table is a type of ,"['wood', 'stone']"
 Grape is a type of wine fruit. Grape isn't a type of wine , Grape is a type of wine ,['fruit']
 Some buildiings are factories. Some buildiings aren't , Some buildiings are ,['factories']
 Computers are toolds. Computers aren't , Computers are ,"['toolds', 'manmade']"
 Truth is a concept. Truth isn't a , Truth is a ,"['concept', 'statement', 'fact', 'actuality']"
 A hacksaw is a type of saw. A hacksaw isn't a type of , A hacksaw is a type of ,"['saw', 'tool']"
 Corporation is a type of business organization. Corporation isn't a type of business , Corporation is a type of business ,"['organization', 'firm']"
 Butane is a kind of gas. Butane isn't a kind of , Butane is a kind of ,"['gas', 'alkane', 'fuel']"
 A housefly is a fly. A housefly isn't a , A housefly is a ,"['fly', 'insect', 'blackness']"
 IBM is a type of company. IBM isn't a type of , IBM is a type of ,"['company', 'computer']"
 Humans are bipeds. Humans aren't , Humans are ,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
 Time is a type of experience. Time isn't a type of , Time is a type of ,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 Ginseng is a herb. Ginseng isn't a , Ginseng is a ,"['herb', 'root']"
 Moldavia is a kind of country. Moldavia isn't a kind of , Moldavia is a kind of ,['country']
 Rhododendron is a plant. Rhododendron isn't a , Rhododendron is a ,"['plant', 'shrub']"
 A recorder is a equipment. A recorder isn't a , A recorder is a ,"['equipment', 'judge']"
 Pressure is a kind of force. Pressure isn't a kind of , Pressure is a kind of ,"['force', 'somesthesia', 'sensation', 'distress']"
 Some flowers are perennials. Some flowers aren't , Some flowers are ,"['perennials', 'traditionally', 'domesticated', 'annuals', 'magazine']"
 Ostriches are birds. Ostriches aren't , Ostriches are ,"['birds', 'animals']"
 Pepper is a type of season. Pepper isn't a type of , Pepper is a type of ,"['season', 'flavorer', 'spice', 'condiment', 'vegetable', 'spicey', 'fruit']"
 A ship is an watercraft. A ship isn't an , A ship is an ,"['watercraft', 'vessel', 'boat']"
 A wheel is a part. A wheel isn't a , A wheel is a ,"['part', 'machine', 'force', 'bicycle', 'helm']"
 Ω is a kind of infinity. Ω isn't a kind of , Ω is a kind of ,"['infinity', 'ordinal']"
 An actress is a kind of person. An actress isn't a kind of , An actress is a kind of ,"['person', 'actor']"
 A peregrine is a type of falcon. A peregrine isn't a type of , A peregrine is a type of ,['falcon']
 A shoelace is a kind of lace. A shoelace isn't a kind of , A shoelace is a kind of ,"['lace', 'footwear', 'fastener', 'object']"
 Some religions are monotheistic. Some religions aren't , Some religions are ,['monotheistic']
 Hemoglobin is a hemoprotein. Hemoglobin isn't a , Hemoglobin is a ,['hemoprotein']
 Polyethylene is a alkane. Polyethylene isn't a , Polyethylene is a ,"['alkane', 'solid']"
 Door is a type of entree. Door isn't a type of , Door is a type of ,"['entree', 'room', 'structure']"
 Motorola is a company. Motorola isn't a , Motorola is a ,['company']
 Saucers are discs. Saucers aren't , Saucers are ,['discs']
 The Pope is a kind of a falliable. The Pope isn't a kind of a , The Pope is a kind of a ,"['falliable', 'village', 'priest', 'bishop']"
 MIT is a kind of station. MIT isn't a kind of , MIT is a kind of ,['station']
 Textiles are cloths. Textiles aren't , Textiles are ,"['cloths', 'commodities']"
 Cannon is a type of artillery. Cannon isn't a type of , Cannon is a type of ,"['artillery', 'gun']"
 Castle is a type of fortification. Castle isn't a type of , Castle is a type of ,"['fortification', 'book', 'home', 'piece', 'chessman']"
 An illegal alien is a kind of software. An illegal alien isn't a kind of , An illegal alien is a kind of ,"['software', 'person', 'being']"
 Novel is a type of story. Novel isn't a type of , Novel is a type of ,"['story', 'fiction', 'book']"
