word,prompt,opposite_sent,relation,completion
 air, [MASK] has molecules. [MASK] doesn't have, Air has [MASK]., MadeOf,['molecules']
 armies, rebel [MASK] sometimes use children as soldiers. rebel [MASK] sometimes don't use children as, Rebel armies sometimes use children as [MASK]., MadeOf,['soldiers']
 atom, [MASK] has neurons protons. [MASK] doesn't have neurons, Atom has neurons [MASK]., MadeOf,"['protons', 'neutrons', 'nucleus', 'electrons']"
 bread, [MASK] is from dough. [MASK] isn't from, Bread is from [MASK]., MadeOf,"['dough', 'wheat']"
 button, [MASK] is a type of small plastic. [MASK] isn't a type of small, Button is a type of small [MASK]., MadeOf,['plastic']
 continents, [MASK] usually contain countries. [MASK] usually don't contain, Continents usually contain [MASK]., MadeOf,['countries']
 gesture, [MASK] is a type of hand movement. [MASK] isn't a type of hand, Gesture is a type of hand [MASK]., MadeOf,['movement']
 glass, [MASK] is a type of silica. [MASK] isn't a type of, Glass is a type of [MASK]., MadeOf,"['silica', 'sand']"
 goblet, [MASK] has fancy glass. [MASK] doesn't have fancy, Goblet has fancy [MASK]., MadeOf,['glass']
 heroin, [MASK] is opium. [MASK] isn't, Heroin is [MASK]., MadeOf,"['opium', 'Diamorphine']"
 idolatry, [MASK] is a kind of obsession. [MASK] isn't a kind of, Idolatry is a kind of [MASK]., MadeOf,['obsession']
 lock, [MASK] is metal. [MASK] isn't, Lock is [MASK]., MadeOf,['metal']
 mankind, [MASK] is a kind of humanity. [MASK] isn't a kind of, Mankind is a kind of [MASK]., MadeOf,['humanity']
 mountain, [MASK] is a type of land. [MASK] isn't a type of, Mountain is a type of [MASK]., MadeOf,['land']
 paper, [MASK] is typically in wood. [MASK] isn't typically in, Paper is typically in [MASK]., MadeOf,"['wood', 'trees', 'cellulose']"
 person, a [MASK] wants clean water. a [MASK] doesn't want clean, A person wants clean [MASK]., MadeOf,['water']
 table, [MASK] is a type of wood. [MASK] isn't a type of, Table is a type of [MASK]., MadeOf,"['wood', 'stone']"
 wine, grape is a type of [MASK] fruit. grape isn't a type of [MASK], Grape is a type of wine [MASK]., MadeOf,['fruit']
 buildiings, some [MASK] are factories. some [MASK] aren't, Some buildiings are [MASK]., IsA,['factories']
 computers, [MASK] are toolds. [MASK] aren't, Computers are [MASK]., IsA,"['toolds', 'manmade']"
 truth, [MASK] is a concept. [MASK] isn't a, Truth is a [MASK]., IsA,"['concept', 'statement', 'fact', 'actuality']"
 hacksaw, a [MASK] is a type of saw. a [MASK] isn't a type of, A hacksaw is a type of [MASK]., IsA,"['saw', 'tool']"
 corporation, [MASK] is a type of business organization. [MASK] isn't a type of business, Corporation is a type of business [MASK]., IsA,"['organization', 'firm']"
