prompt,classes,answer_index
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a dog.
Can we infer that ""the man does not own a mammal.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",1
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a mammal.
Can we infer that ""the man does not own a dog.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",0
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a dog.
Can we infer that ""the man does not own an animal.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",1
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own an animal.
Can we infer that ""the man does not own a dog.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",0
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a dog.
Can we infer that ""the man does not own a pinscher.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",0
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a pinscher.
Can we infer that ""the man does not own a dog.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",1
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a dog.
Can we infer that ""the man does not own a sheepdog.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",0
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a sheepdog.
Can we infer that ""the man does not own a dog.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",1
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a dog.
Can we infer that ""the man does not own a greyhound.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",0
"Suppose The person did not like bananas.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The cowboy did not fall off a racehorse at the competition.
Can we infer that ""The cowboy did not fall off a horse at the competition.""?
OPTIONS
- Yes
- No
Answer: No
Suppose the boy does not play a drum.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girls are cutting the cake and not letting any man cut it.
Can we infer that ""The girls are cutting the cake and not letting any gent cut it.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose There is not a single billionaire walking in the city.
Can we infer that ""There is not a single person walking in the city.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The men were outside trying to keep their voices down so as not to waken any woman indoors.
Can we infer that ""The men were outside trying to keep their voices down so as not to waken any housewife indoors.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The skier did not notice a large tree dragging behind him.
Can we infer that ""The skier did not notice a large cypress dragging behind him.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose The person did not like grapes.
Can we infer that ""The person did not like fruit.""?
OPTIONS
- Yes
- No
Answer: No
Suppose The girl here is not wearing any jewelry at all.
Can we infer that ""The girl here is not wearing any chains at all.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose A woman did not like food.
Can we infer that ""A woman did not like cereal.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the boy does not play a bassoon.
Can we infer that ""the boy does not play an instrument.""?
OPTIONS
- Yes
- No
Answer: No
Suppose a man walks confidently not dropping produce.
Can we infer that ""a man walks confidently not dropping onions.""?
OPTIONS
- Yes
- No
Answer: Yes
Suppose the man does not own a greyhound.
Can we infer that ""the man does not own a dog.""
OPTIONS
- Yes
- No
Answer:","[' Yes',' No']",1
