word,prompt,opposite_sent,relation,completion
 air, Air has molecules. Air doesn't have, Air has, MadeOf,['molecules']
 armies, Rebel armies sometimes use children as soldiers. Rebel armies sometimes don't use children as, Rebel armies sometimes use children as, MadeOf,['soldiers']
 atom, Atom has neurons protons. Atom doesn't have neurons, Atom has neurons, MadeOf,"['protons', 'neutrons', 'nucleus', 'electrons']"
 bread, Bread is from dough. Bread isn't from, Bread is from, MadeOf,"['dough', 'wheat']"
 button, Button is a type of small plastic. Button isn't a type of small, Button is a type of small, MadeOf,['plastic']
 continents, Continents usually contain countries. Continents usually don't contain, Continents usually contain, MadeOf,['countries']
 gesture, Gesture is a type of hand movement. Gesture isn't a type of hand, Gesture is a type of hand, MadeOf,['movement']
 glass, Glass is a type of silica. Glass isn't a type of, Glass is a type of, MadeOf,"['silica', 'sand']"
 goblet, Goblet has fancy glass. Goblet doesn't have fancy, Goblet has fancy, MadeOf,['glass']
 heroin, Heroin is opium. Heroin isn't, Heroin is, MadeOf,"['opium', 'Diamorphine']"
 idolatry, Idolatry is a kind of obsession. Idolatry isn't a kind of, Idolatry is a kind of, MadeOf,['obsession']
 lock, Lock is metal. Lock isn't, Lock is, MadeOf,['metal']
 mankind, Mankind is a kind of humanity. Mankind isn't a kind of, Mankind is a kind of, MadeOf,['humanity']
 mountain, Mountain is a type of land. Mountain isn't a type of, Mountain is a type of, MadeOf,['land']
 paper, Paper is typically in wood. Paper isn't typically in, Paper is typically in, MadeOf,"['wood', 'trees', 'cellulose']"
 person, A person wants clean water. A person doesn't want clean, A person wants clean, MadeOf,['water']
 table, Table is a type of wood. Table isn't a type of, Table is a type of, MadeOf,"['wood', 'stone']"
 wine, Grape is a type of wine fruit. Grape isn't a type of wine, Grape is a type of wine, MadeOf,['fruit']
 buildiings, Some buildiings are factories. Some buildiings aren't, Some buildiings are, IsA,['factories']
 computers, Computers are toolds. Computers aren't, Computers are, IsA,"['toolds', 'manmade']"
 truth, Truth is a concept. Truth isn't a, Truth is a, IsA,"['concept', 'statement', 'fact', 'actuality']"
 hacksaw, A hacksaw is a type of saw. A hacksaw isn't a type of, A hacksaw is a type of, IsA,"['saw', 'tool']"
 corporation, Corporation is a type of business organization. Corporation isn't a type of business, Corporation is a type of business, IsA,"['organization', 'firm']"
 butane, Butane is a kind of gas. Butane isn't a kind of, Butane is a kind of, IsA,"['gas', 'alkane', 'fuel']"
 housefly, A housefly is a fly. A housefly isn't a, A housefly is a, IsA,"['fly', 'insect', 'blackness']"
 ibm, IBM is a type of company. IBM isn't a type of, IBM is a type of, IsA,"['company', 'computer']"
 humans, Humans are bipeds. Humans aren't, Humans are, IsA,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
