prompt,classes,answer_index
"The question requires reasoning about negation. 
Suppose The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Can we infer that ""Everyone who works in law must work together.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose The second thing I learned is the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Can we infer that ""Everyone who works in law must not work together.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Can we infer that ""Everyone who works in law must not work together.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose The United States does not fall somewhere between these extremes.
Can we infer that ""The United States conforms to only one of these extremes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose The United States falls somewhere between these extremes.
Can we infer that ""The United States does not conform to only one of these extremes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose The United States does not fall somewhere between these extremes.
Can we infer that ""The United States does not conform to only one of these extremes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Can we infer that ""Subia was Bush's first nominee to the Board of Directors.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Subia was nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Can we infer that ""Subia was not Bush's first nominee to the Board of Directors.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Can we infer that ""Subia was not Bush's first nominee to the Board of Directors.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose His knees were not bent.
Can we infer that ""He bent his legs.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose His knees were bent.
Can we infer that ""He did not bend his legs.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose His knees were not bent.
Can we infer that ""He did not bend his legs.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Can we infer that ""Their cumulative and long term effects are predictable and likely insubstantial.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may be substantial.
Can we infer that ""Their cumulative and long term effects are not predictable and likely insubstantial.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Can we infer that ""Their cumulative and long term effects are not predictable and likely insubstantial.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose And if things go well, you were not behind the commander in chief all the way.
Can we infer that ""If things go well, you support the President.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose And if things go well, you were behind the commander in chief all the way.
Can we infer that ""If things go well, you do not support the President.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose And if things go well, you were not behind the commander in chief all the way.
Can we infer that ""If things go well, you do not support the President.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Vrenna did not continue her dance, kicking one man in the chest and cleaving into the flank of another.
Can we infer that ""Vrenna kicked a small child in the chest as she danced.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
