index,loss,correct,predicted,total_logprob
0,0.03557252883911133,1, entailment,-2.53627872467041
1,0.03727969527244568,1, entailment,-2.533912181854248
2,4.669491291046143,0, entailment,-2.6628594398498535
3,0.04596826061606407,1, entailment,-2.8027334213256836
4,4.7682623863220215,0, entailment,-2.533224105834961
5,4.709798336029053,0, entailment,-2.6030378341674805
6,2.5438520908355713,0, entailment,-3.376180410385132
7,4.808860778808594,0, entailment,-2.925997495651245
8,0.1334686428308487,1, entailment,-3.8472096920013428
9,3.156200647354126,0, entailment,-4.131003379821777
10,0.12555907666683197,1, entailment,-4.390028953552246
11,0.05032254382967949,1, entailment,-2.5222156047821045
12,3.645784854888916,0, entailment,-2.280547618865967
13,4.952749252319336,0, entailment,-2.5858659744262695
14,0.08086132258176804,1, entailment,-2.949542284011841
15,4.899211883544922,0, entailment,-2.831073045730591
16,3.2419729232788086,0, entailment,-2.317744731903076
17,2.89520263671875,0, entailment,-2.786574363708496
18,4.061904430389404,0, entailment,-3.222195863723755
19,0.08938150852918625,1, entailment,-2.9952499866485596
20,3.505303144454956,0, entailment,-3.535625696182251
21,0.23737984895706177,1, entailment,-3.78462290763855
22,0.2708723843097687,1, entailment,-4.226584434509277
23,3.3101394176483154,0, entailment,-3.980811357498169
24,0.11738134920597076,1, entailment,-3.3142740726470947
25,3.7622618675231934,0, entailment,-3.5029735565185547
26,0.08388836681842804,1, entailment,-3.0292036533355713
27,4.360172748565674,0, entailment,-3.1088287830352783
28,2.8641231060028076,0, entailment,-3.0360958576202393
29,4.219782829284668,0, entailment,-3.1850228309631348
30,0.059875089675188065,1, entailment,-3.5578501224517822
31,3.575904369354248,0, entailment,-3.467845916748047
32,3.4680676460266113,0, entailment,-3.5667386054992676
33,3.858764171600342,0, entailment,-3.447777271270752
34,3.542712450027466,0, entailment,-3.455859422683716
35,3.6826975345611572,0, entailment,-3.89928936958313
36,3.6718671321868896,0, entailment,-3.8465182781219482
37,0.05988059192895889,1, entailment,-3.5656018257141113
38,3.414558172225952,0, entailment,-3.495004415512085
39,3.6345906257629395,0, entailment,-3.2674646377563477
40,3.6645007133483887,0, entailment,-3.247581958770752
41,3.3727052211761475,0, entailment,-3.5797622203826904
42,3.632718324661255,0, entailment,-3.238818407058716
43,0.047677334398031235,1, entailment,-3.519502878189087
44,3.5587151050567627,0, entailment,-3.4205620288848877
45,3.5164289474487305,0, entailment,-3.486140251159668
46,0.25394147634506226,1, entailment,-5.6465935707092285
47,2.3141894340515137,0, entailment,-5.805975437164307
48,2.2345685958862305,0, entailment,-6.328601837158203
49,0.7158822417259216,1, entailment,-6.273014068603516
50,0.6536269783973694,1, entailment,-6.2129340171813965
51,1.5864872932434082,0, entailment,-6.3316850662231445
52,1.578927993774414,0, entailment,-6.3429741859436035
53,1.7457799911499023,0, entailment,-6.2632856369018555
54,1.924140453338623,0, neutral,-6.827944278717041
